Year	X	Y
1995.1	37366.5	528756.5
1995.2	38451.3	539531
1995.3	39559.1	541629.6
1995.4	40643.9	549045.6
1996.1	38556.9	558310.2
1996.2	37865.9	576286.6
1996.3	37198.6	587057
1996.4	36507.6	606114.4
1997.1	109647	598531.2
1997.2	124201.5	606368
1997.3	138756	617713.7
1997.4	153310.5	614539.2
1998.1	274294.5	569326.2
1998.2	293233.5	524696.8
1998.3	312172.5	518850.4
1998.4	331111.5	504359.9
1999.1	264759	532844.5
1999.2	265327	532551.6
1999.3	260357	534007.7
1999.4	260996	534580.2
2000.1	345707.8	551314.7
2000.2	341773.9	548208.4
2000.3	337935.9	561619.5
2000.4	334097.9	577834.2
2001.1	351416	573616.2
2001.2	344656	579489.7
2001.3	337792	579620.6
2001.4	331032	587826.7
2002.1	131556	594992.1
2002.2	132136	602632.3
2002.3	131290	610359.2
2002.4	130897	616982.4
2003.1	129466	625014.2
2003.2	130585	632104.3
2003.3	131952	638730
2003.4	134851	645039.7
2004.1	81217	652607
2004.2	78811	660409.8
2004.3	77430	668448.7
2004.4	80278	687251.7
2005.1	77675	692839.9
2005.2	76770	700755
2005.3	75254	708500.7
2005.4	74893	718540.2
2006.1	83399	728037.4
2006.2	78839	737361.8
2006.3	77483	749224.7
2006.4	75809	761173.7
2007.1	78190	773562.4
2007.2	79389	786450.1
2007.3	81235	798856.3
2007.4	80609	805743.7
2008.1	87519	823146.9
2008.2	88131	835913.9
2008.3	86363	847861.1
2008.4	86576	848001
2009.1	85584	859439.1
2009.2	88146	870805.9
2009.3	96941	884141.7
2009.4	99265	895831.4
2010.1	105626	910406
2010.2	105697	924718.2
2010.3	114171	938688.2
2010.4	202413	954876.8
2011.1	210080	969557.2
2011.2	222816	984915.4
2011.3	224504	100031.7
2011.4	225375	101572.8
2012.1	228761	103132.1
2012.2	238917	104725.4
2012.3	243649	106271.9
2011.4	252364	107792.4
2013.1	254295	109322.2
2013.2	257980	110806.9
2013.3	260617	112316.2
2013.4	264060	113868.7
