Tahun	M2	GDP	IHK	G	I
1970	626.4	3578	38.8	198.6	436.2
1971	710.1	3697.7	40.5	216.6	485.8
1972	802.1	3998.4	41.8	240	543
1973	855.2	4123.4	44.4	259.7	606.5
1974	901.9	4099	49.3	291.2	561.7
1975	1015.9	4084.4	53.8	345.4	462.2
1976	1151.7	4311.7	56.9	371.9	555.5
1977	1269.9	4511.8	60.6	405	639.4
1978	1365.5	4760.6	65.2	444.2	713
1979	1473.1	4912.1	72.6	489.6	735.4
1980	1599.1	4900.9	82.4	576.6	655.3
1981	1754.6	5021	90.9	659.3	715.6
1982	1909.5	4913.3	96.5	732.1	615.2
1983	2126	5132.3	99.6	797.8	673.7
1984	2309.7	5505.2	103.9	856.1	871.5
1985	2495.4	5717.1	107.6	924.6	863.4
1986	2732.1	5912.4	109.6	978.5	857.7
1987	2831.1	6113.3	113.6	1018.4	879.3
1988	2994.3	6368.4	118.3	1066.2	902.8
1989	3158.4	6591.9	124	1140.3	936.5
1990	3277.6	6707.9	130.7	1228.7	907.3
1991	3376.8	6676.4	136.2	1287.6	829.5
1992	3430.7	6880	140.3	1418.9	899.8
1993	3484.4	7062.6	144.5	1471.5	977.9
1994	3499	7347.7	148.2	1506	1107
1995	3641.9	7543.8	142.4	1575.7	1140.6
1996	3813.3	7813.2	156.9	1635.9	1242.7
1997	4028.9	8159.5	160.5	1678.8	1393.3
1998	4380.6	8515.7	163	1705	1566.8
1999	4643.7	8875.8	166.6	1750.2	1669.7
