year	qtr	qch	pch	pb	GDPC
1970	1	9.5757	42.17	99.1333	23064.74848
1970	2	10.6764	41	100.5333	23033.524
1970	3	10.5298	40.4	101.3	23158.63264
1970	4	9.7563	39.43	98.8	22841.29995
1971	1	9.7865	40.17	101.9	23380.98877
1971	2	10.308	41.27	106.7333	23446.54974
1971	3	10.503	42.27	107.5	23557.91883
1971	4	9.9795	40.5	108.8333	23553.06545
1972	1	10.3073	41.37	116.9667	23919.2491
1972	2	11.0482	40.67	115	24415.29325
1972	3	10.5941	42	118.2667	24576.42844
1972	4	10.0881	41.47	116.3333	24918.02656
1973	1	9.8371	49.93	132.9333	25477.42049
1973	2	10.3858	58.33	139.9	25708.44082
1973	3	10.1065	74.9	146.2667	25504.85176
1973	4	9.8959	55.33	139.5667	25680.03385
1974	1	10.011	58.47	150.0333	25414.86232
1974	2	10.6635	53	139.3333	25427.43446
1974	3	10.3135	54.1	146.2333	25117.21085
1974	4	9.1444	58.27	139.6667	24951.56122
1975	1	9.2631	58.9	134.8333	24600.71026
1975	2	10.1645	58.97	152.6333	24731.27255
1975	3	10.2047	68.93	163.2	25064.95788
1975	4	9.7381	66.3	158.1667	25337.21311
1976	1	10.3294	61.93	148.7	25854.17482
1976	2	10.9598	60.7	148.2	25994.95805
1976	3	11.031	60.9	142.8	26059.71503
1976	4	10.1654	55.13	142.9333	26185.36452
1977	1	10.3395	58.27	142.1667	26429.19644
1977	2	11.2841	60.8	143.9333	26883.01592
1977	3	11.1785	61.9	146.5	27281.67092
1977	4	10.4996	59.3	150.8	27206.31448
1978	1	10.8966	61.4	160	27239.06347
1978	2	11.8033	66.93	182.5333	28225.9153
1978	3	11.6097	70.5	186.2	28418.46507
1978	4	11.1396	67.07	186.4333	28716.66652
1979	1	11.4686	69.6	211.7	28700.29981
1979	2	12.6605	70.33	231.5	28659.14977
1979	3	12.582	65.93	222.7	28777.70926
1979	4	11.6184	64.87	223.8333	28761.13826
1980	1	12.1178	67.57	231.1667	28775.3635
1980	2	12.6824	63.53	227.5	28113.30463
1980	3	11.7869	75.07	237.5333	27986.58307
1980	4	11.4689	77.27	238.1667	28427.25714
1981	1	12.0277	75.43	233.5	28958.14059
1981	2	12.6866	71.9	230.7	28681.83639
1981	3	12.8079	74.9	239.0333	28931.39383
1981	4	11.9454	70.47	235.4333	28518.53135
1982	1	11.9425	71.77	233.3	27982.81704
1982	2	12.834	72.13	242.9667	28073.1864
1982	3	12.9951	72.33	244.0333	27900.69507
1982	4	11.8858	69.2	233.1333	27858.17562
1983	1	12.4026	69.53	233.8667	28166.97567
1983	2	13.129	68.73	240.9333	28750.96146
1983	3	12.5883	74.43	234.3667	29241.13708
1983	4	11.6903	77.17	227.1667	29773.72564
1984	1	12.3375	85.13	238.4667	30308.02076
1984	2	13.3105	82.4	238	30778.09359
1984	3	13.1955	80.23	232.2	31005.04954
1984	4	12.6693	76.27	233.2333	31175.44407
1985	1	12.7081	77.13	234.9	31428.42717
1985	2	13.7851	75.67	230.4333	31648.97637
1985	3	13.5748	75.73	222.7333	32058.42815
1985	4	13.0119	76.77	226.4333	32217.45088
1986	1	13.0699	76.8	229.2667	32452.95133
1986	2	14.1113	77.2	222.9	32533.02269
1986	3	13.813	91.9	225.6333	32779.57844
1986	4	13.2814	88.1	229.3	32869.7877
1987	1	14.0183	81.9	230.6	33036.50751
1987	2	14.5088	78.17	239.1	33336.76953
1987	3	14.5456	77.77	242.1667	33555.72191
1987	4	14.2982	76.1	241.6667	34024.96266
1988	1	14.3959	74.6	241.7333	34148.76845
1988	2	14.7447	80.8	250.1	34528.90792
1988	3	14.2711	95.77	254.5333	34637.17435
1988	4	14.0575	90.3	255	35007.9278
1989	1	14.3563	90.57	260.7	35291.37283
1989	2	15.0116	95.83	266.9667	35488.84661
1989	3	15.0852	95.33	268.0333	35654.73667
1989	4	14.8018	89.07	266.9333	35631.69337
1990	1	14.9451	90.2	272.6333	35943.67668
1990	2	15.4012	90.9	281.2	35989.85422
1990	3	15.5829	91.2	280.3667	35892.38557
1990	4	15.5973	87.37	289.8667	35481.9949
1991	1	15.1466	89.6	294.2667	35230.02277
1991	2	16.4942	88.2	295.2	35411.95169
1991	3	16.5271	87.7	284.6333	35477.64987
1991	4	15.8341	86.63	279.2	35531.77068
1992	1	16.8084	86.2	282.2667	35869.73189
1992	2	17.1634	85.87	286.8333	36164.91531
1992	3	17.3147	88.03	282.6667	36403.57735
1992	4	16.4821	87.63	286.6667	36663.79535
1993	1	17.3378	87.5	292.1333	36647.26218
1993	2	17.9871	88.43	300.4	36775.21966
1993	3	17.9543	89.43	292	36850.65626
1993	4	16.9636	90.7	289.2333	37246.74643
1994	1	17.516	89.27	286.6667	37543.61641
1994	2	18.0614	90.63	286.1667	37967.27132
1994	3	18.6015	90.87	279.5	38090.73072
1994	4	17.3363	89.6	279.1667	38428.45675
1995	1	17.9111	90.23	283.8667	38481.55255
1995	2	18.5493	90.33	283.1	38529.9973
1995	3	17.343	92.2	285.1	38758.37143
1995	4	17.0398	93.9	285.2667	38935.82776
1996	1	18.2436	93.8	278.7	39120.34324
1996	2	18.6502	95.47	277.4	39714.10252
1996	3	18.5709	98.93	279.8	39975.02219
1996	4	17.486	100.87	285.0333	40294.54252
1997	1	17.559	101.1	278.8	40522.85868
1997	2	18.7398	100.07	278.9667	41036.65735
1997	3	18.4364	99.5	281.0667	41445.29474
1997	4	17.635	100.1	279.3	41660.8135
1998	1	17.464	102.03	273.4667	41995.22967
1998	2	18.1367	102.57	278.1	42303.19448
1998	3	18.5167	105.53	277.3667	42740.88482
1998	4	18.7589	107.33	279.5333	43333.10018
1999	1	19.5127	106.43	278	43598.42138
1999	2	19.9553	104.13	284.7667	43854.98618
1999	3	19.2361	105.6	289.2333	44285.97543
