tahun	GDP	GREV	GEXP
1970	77806	438.1	431.4
1971	83271.1	522.3	508.7
1972	89131.5	713.3	691.6
1973	96354.6	1118.1	1106
1974	103711	1977.7	1970.9
1975	108873	2694.7	2675.7
1976	116370.6	3191.7	3176.3
1977	126566.2	3765.2	3620.4
1978	135131.1	4684.9	4618.5
1979	145026.5	7508.3	7478.9
1980	159357.4	11053.9	11000.1
1981	171989.9	13721	13769.1
1982	175853.6	14379.8	14407.7
1983	183227.1	18909.8	18772.2
1984	196008.1	17712	17780.7
1985	200857.7	23768.9	23746.5
1986	212633.2	22898.3	22807.9
1987	223107.4	27286.3	27110.5
1988	236004.1	33538.1	33252.1
1989	253601.9	39834.5	39729.1
1990	271938.1	50574.5	47371.9
1991	291563.4	52537.1	52127.5
1992	309659.1	59960.5	60511.7
1993	329775.8	68885.6	68718
1994	354640.8	76255.8	74760.7
1995	383792.3	82022.7	79215.7
1996	413797.9	99530.9	98512.9
1997	433245.9	126661.1	127968.5
1998	376374.9	209149.2	202715.9
1999	379557.7	254016.6	252075.2
2000	397666.3	205334.5	221466.7
2001	411691	301077.7	341562.6
2002	426740.6	305151.2	345604.8
2003	444453.5	341095.2	374764.2
