year	Y_GE	X1_GE	X2_GE	Y_WE	X1_WE	X2_WE	Y_GM	X1_GM	X2_GM	Y_DM	X1_DM	X2_DM
1935	33.099998	1170.599976	97.800003	12.93	191.5	1.8	317.600006	3078.5	2.8	2.54	70.910004	4.5
1936	45	2015.800049	104.400002	25.9	516	0.8	391.799988	4661.700195	52.599998	2	87.940002	4.71
1937	77.199997	2803.300049	118	35.049999	729	7.4	410.600006	5387.100098	156.899994	2.19	82.199997	4.57
1938	44.599998	2039.699951	156.199997	22.889999	560.400024	18.1	257.700012	2792.199951	209.199997	1.99	58.720001	4.56
1939	48.099998	2256.199951	172.600006	18.84	519.900024	23.5	330.799988	4313.200195	203.399994	2.03	80.540001	4.38
1940	74.400002	2132.199951	186.600006	28.57	628.5	26.5	461.200012	4643.899902	207.199997	1.81	86.470001	4.21
1941	113	1834.099976	220.899994	48.509998	537.099976	36.200001	512	4551.200195	255.199997	2.14	77.68	4.12
1942	91.900002	1588	287.799988	43.34	561.200012	60.799999	448	3244.100098	303.700012	1.86	62.16	3.83
1943	61.299999	1749.400024	319.899994	37.02	617.200012	84.400002	499.600006	4053.699951	264.100006	0.93	62.240002	3.58
1944	56.799999	1687.199951	321.299988	37.810001	626.700012	91.199997	547.5	4379.299805	201.600006	1.18	61.82	3.41
1945	93.599998	2007.699951	319.600006	39.27	737.200012	92.400002	561.200012	4840.899902	265	1.36	65.849998	3.31
1946	159.899994	2208.300049	346	53.459999	760.5	86	688.099976	4900.899902	402.200012	2.24	69.540001	3.23
1947	147.199997	1656.699951	456.399994	55.560001	581.400024	111.099998	568.900024	3526.5	761.5	3.81	64.970001	3.9
1948	146.300003	1604.400024	543.400024	49.560001	662.299988	130.600006	529.200012	3254.699951	922.400024	5.66	68	5.38
1949	98.300003	1431.800049	618.299988	32.040001	583.799988	141.800003	555.099976	3700.199951	1020.099976	4.21	71.239998	7.39
1950	93.5	1610.5	647.400024	32.240002	635.200012	136.699997	642.900024	3755.600098	1099	3.42	69.050003	8.74
1951	135.199997	1819.400024	671.299988	54.380001	723.799988	129.699997	755.900024	4833	1207.699951	4.67	83.040001	9.07
1952	157.300003	2079.699951	726.099976	71.779999	864.099976	145.5	891.200012	4924.899902	1430.5	6	74.419998	9.93
1953	179.5	2371.600098	800.299988	90.080002	1193.5	174.800003	1304.400024	6241.700195	1777.300049	6.53	63.509998	11.68
1954	189.600006	2759.899902	888.900024	68.599998	1188.900024	213.5	1486.699951	5593.600098	2226.300049	5.12	58.119999	14.33
